Designator,Mid X,Mid Y,Rotation,Layer
A1,37.42,58.94,270.0,top
A2,59.61,58.88,90.0,top
C1,16.217662,54.642716,90.0,top
C10,94.88,78.24,90.0,top
C11,98.77,78.295,90.0,top
C12,102.57,78.27,90.0,top
C13,102.49,83.13,270.0,top
C14,29.88,81.42,90.0,top
C15,33.33,81.4,90.0,top
C16,37.07,81.34,90.0,top
C17,40.83,81.52,90.0,top
C2,23.373402,54.678692,90.0,top
C3,26.23,81.31,90.0,top
C4,64.92,78.075,270.0,top
C5,91.1,78.16,90.0,top
C6,19.77,46.72,90.0,top
C7,78.985,69.14,180.0,top
C8,103.34,69.8375,270.0,top
C9,94.23,35.38,90.0,top
D1,70.41,78.015,180.0,top
D2,19.04,82.39,180.0,top
FID1,61.55,100.65,0.0,top
FID2,60.25,34.89,180.0,top
INPUT BATT,6.3275,55.595,270.0,top
J,6.37,82.1,270.0,top
J10,102.59,0.25,90.0,top
J11,102.59,135.23,90.0,top
J12,1.22,117.7,0.0,top
J13,120.12,17.86,0.0,top
J14,1.17,17.86,0.0,top
J15,120.22,117.7,0.0,top
J3,37.33,71.45,270.0,top
J4,59.62,47.41,90.0,top
J5,102.96,62.57,270.0,top
J6,88.51,62.65,90.0,top
J8,18.75,0.26,90.0,top
J9,18.75,135.28,90.0,top
L1,50.48,80.69,0.0,top
L2,80.93,80.93,270.0,top
Q1,66.43,81.66,0.0,top
R2,62.16,78.925,0.0,top
R3,106.62,81.72,90.0,top
R5,78.19086,66.638566,270.0,top
R6,78.84779,71.038062,180.0,top
R7,107.91,70.08,90.0,top
R8,105.00504,69.856992,270.0,top
R9,106.31,66.7525,180.0,top
RV1,99.38,35.26,270.0,top
U1,19.85,62.055,0.0,top
U2,112.895,64.1975,0.0,top
U7,102.62,49.57,90.0,top
USB_OUT,113.77,81.66,90.0,top
